country,date,External Debt to GDP,Year,Debt Growth Rate (%)
Brazil,2023,,1970,
Brazil,2022,31.1117018971197,1970,
Brazil,2021,35.7750707847234,1970,14.989115359309313
Brazil,2020,38.0056856937869,1970,6.235109701071551
Brazil,2019,31.1964144591405,1970,-17.91645410507504
Brazil,2018,29.9289604201936,1970,-4.062819592959777
Brazil,2017,26.8156664563017,1970,-10.402278997272852
Brazil,2016,30.9090873502902,1970,15.265035089316402
Brazil,2015,30.7299282819868,1970,-0.5796323465426356
Brazil,2014,23.1060429665359,1970,-24.809316980800943
Brazil,2013,19.8377244696815,1970,-14.144864620860654
Brazil,2012,18.3256247175724,1970,-7.622344762475564
Brazil,2011,15.8516033315084,1970,-13.500338592504658
Brazil,2010,16.4609633883192,1970,3.8441540837674593
Brazil,2009,17.2780448185263,1970,4.963752187110182
Brazil,2008,15.895646208226,1970,-8.000897235884185
Brazil,2007,17.4373059268587,1970,9.698628784496277
Brazil,2006,17.9925275363162,1970,3.1841020154512067
Brazil,2005,21.7546275711234,1970,20.90923594372032
Brazil,2004,33.9781537953332,1970,56.188165870672194
Brazil,2003,43.6447539570516,1970,28.44945673018313
Brazil,2002,47.0768538372546,1970,7.863716870944781
Brazil,2001,42.4435005758245,1970,-9.84210473675169
Brazil,2000,38.096473476996,1970,-10.241914639115635
Brazil,1999,42.1767806671039,1970,10.710459047007937
Brazil,1998,28.6093884024265,1970,-32.16791810584867
Brazil,1997,22.9073572977231,1970,-19.93062915046372
Brazil,1996,21.6665361778305,1970,-5.416692566348235
Brazil,1995,21.2189844098868,1970,-2.065635984775649
Brazil,1994,29.1112305958678,1970,37.19426921442892
Brazil,1993,33.8140310461276,1970,16.154591729720092
Brazil,1992,33.8017770320511,1970,-0.03623943581227973
Brazil,1991,30.4705742787994,1970,-9.85511131587261
Brazil,1990,26.7554903586794,1970,-12.192365940096039
Brazil,1989,25.6249250355511,1970,-4.2255451422199215
Brazil,1988,25.6249250355511,1970,0.0
Brazil,1987,25.6249250355511,1970,0.0
Brazil,1986,25.6249250355511,1970,0.0
Brazil,1985,25.6249250355511,1970,0.0
Brazil,1984,25.6249250355511,1970,0.0
Brazil,1983,25.6249250355511,1970,0.0
Brazil,1982,25.6249250355511,1970,0.0
Brazil,1981,25.6249250355511,1970,0.0
Brazil,1980,25.6249250355511,1970,0.0
Brazil,1979,25.6249250355511,1970,0.0
Brazil,1978,25.6249250355511,1970,0.0
Brazil,1977,25.6249250355511,1970,0.0
Brazil,1976,25.6249250355511,1970,0.0
Brazil,1975,25.6249250355511,1970,0.0
Brazil,1974,25.6249250355511,1970,0.0
Brazil,1973,25.6249250355511,1970,0.0
Brazil,1972,25.6249250355511,1970,0.0
Brazil,1971,25.6249250355511,1970,0.0
Brazil,1970,25.6249250355511,1970,0.0
Brazil,1969,25.6249250355511,1970,0.0
Brazil,1968,25.6249250355511,1970,0.0
Brazil,1967,25.6249250355511,1970,0.0
Brazil,1966,25.6249250355511,1970,0.0
Brazil,1965,25.6249250355511,1970,0.0
Brazil,1964,25.6249250355511,1970,0.0
Brazil,1963,25.6249250355511,1970,0.0
Brazil,1962,25.6249250355511,1970,0.0
Brazil,1961,25.6249250355511,1970,0.0
Brazil,1960,25.6249250355511,1970,0.0
China,2023,25.6249250355511,1970,
China,2022,13.4419126997382,1970,-47.543601859949355
China,2021,15.2701199164747,1970,13.600796684032224
China,2020,15.9657544045588,1970,4.555527342870369
China,2019,14.8466857677962,1970,-7.009181078490501
China,2018,14.1794107920524,1970,-4.494437251384287
China,2017,13.9154855194426,1970,-1.861327501405985
China,2016,12.6494291598251,1970,-9.098183156085904
China,2015,12.115490652519,1970,-4.221048243045644
China,2014,16.9548419227709,1970,39.943502158088194
China,2013,15.5960421325697,1970,-8.014228598476569
China,2012,13.4881901595901,1970,-13.515300581150047
China,2011,14.0915092087263,1970,4.472942937472157
China,2010,12.2541297504457,1970,-13.038911808983434
China,2009,8.92364851881412,1970,-27.178439427821832
China,2008,8.35888541387116,1970,-6.3288362798270885
China,2007,10.6157965344314,1970,27.000144263432624
China,2006,11.8828661327268,1970,11.935699729980431
China,2005,12.5936393579162,1970,5.981496528281571
China,2004,12.6836881507387,1970,0.7150339172282028
China,2003,12.555921612995,1970,-1.0073295418908446
China,2002,12.7414236672735,1970,1.4774069160045533
China,2001,13.9608819416316,1970,9.57081646606175
China,2000,12.1927786705436,1970,-12.664696102153005
China,1999,13.7860172313709,1970,13.06706702284679
